CountryID,Year,Month,Day,Latitude,Longitude,Altitude,Area,HostCultivar,GrowthStage,StemRustSeverity,StemRustIncidence,Binary disease presence,era5_t2m,era5_d2m,era5_tp,era5_ssrd,era5_t2m_lag1m,era5_d2m_lag1m,era5_tp_lag1m,era5_ssrd_lag1m,era5_t2m_lag2m,era5_d2m_lag2m,era5_tp_lag2m,era5_ssrd_lag2m,era5_rh,era5_rh_lag1m,ndvi,ndvi_lag1m
ET,2010,10,13,12.5039,39.414,1741.0,1.0,Dashen,6,0,0,0,287.204345703125,276.889892578125,0.0001389004464726895,23008456.0,287.40087890625,280.692626953125,0.002473821397870779,21944204.0,287.4072265625,284.568359375,0.013559545390307903,19507824.0,49.8108059618924,64.01427485898917,0.41540000000000005,0.508
ET,2010,10,14,12.4352,39.4208,1611.0,0.5,Dashen,6,1,1,1,288.673095703125,278.266845703125,0.00016918705659918487,23137042.0,288.91650390625,281.635986328125,0.0019129342399537563,22001700.0,288.6162109375,285.41796875,0.012921507470309734,19639464.0,49.893393455566276,61.910218569962744,0.5476,0.5947
ET,2010,10,14,12.4353,39.421,1607.0,-999.99,Picaflor,6,3,3,1,288.673095703125,278.266845703125,0.00016918705659918487,23137042.0,288.91650390625,281.635986328125,0.0019129342399537563,22001700.0,288.6162109375,285.41796875,0.012921507470309734,19639464.0,49.893393455566276,61.910218569962744,0.5476,0.5947
ET,2010,10,14,12.4812,39.3912,1758.0,2.0,Dashen,6,1,1,1,287.204345703125,276.889892578125,0.0001389004464726895,23008456.0,287.40087890625,280.692626953125,0.002473821397870779,21944204.0,287.4072265625,284.568359375,0.013559545390307903,19507824.0,49.8108059618924,64.01427485898917,0.4747,0.5005000000000001
ET,2010,10,15,7.3527,38.1149,1865.0,1.5,HAR604,3,0,0,0,292.202392578125,283.618408203125,0.0003583349462132901,23055754.0,290.33837890625,287.632080078125,0.0074027529917657375,18532324.0,290.3701171875,287.42578125,0.006125907879322767,17503796.0,57.47060003676175,84.10189787052084,0.6205,0.5619000000000001
ET,2010,10,15,8.0553,38.1731,2362.0,0.75,HAR604,3,0,0,0,284.786376953125,275.903564453125,0.0009633891750127077,23237280.0,284.07080078125,282.432861328125,0.022940469905734062,19112184.0,284.2998046875,282.845703125,0.016822975128889084,17185482.0,54.42652240274375,89.62100526029471,0.7230000000000001,0.7479
ET,2010,10,15,8.0662,38.2446,1982.0,4.0,HAR1685,3,1,3,1,284.786376953125,275.903564453125,0.0009633891750127077,23237280.0,284.07080078125,282.432861328125,0.022940469905734062,19112184.0,284.2998046875,282.845703125,0.016822975128889084,17185482.0,54.42652240274375,89.62100526029471,0.6992,0.6694
ET,2010,10,16,7.341,37.5121,2304.0,5.0,HAR3116,3,0,0,0,292.831298828125,285.956298828125,0.002266704337671399,22829792.0,291.10205078125,288.339111328125,0.007700515445321798,18932400.0,291.2587890625,288.21875,0.005681145470589399,17669296.0,64.49873654410473,83.88136277622823,0.6518,0.7618
ET,2010,10,16,7.3965,37.5305,2406.0,1.0,HAR604,3,0,0,0,292.919189453125,286.059814453125,0.0022434883285313845,22950310.0,291.02392578125,288.575439453125,0.008022581227123737,18778028.0,291.1533203125,288.474609375,0.006783756893128157,17539718.0,64.5838851443053,85.5844243429887,0.5941000000000001,0.6853
ET,2010,10,16,7.4398,37.5339,2623.0,0.35,Local,2,0,0,0,292.919189453125,286.059814453125,0.0022434883285313845,22950310.0,291.02392578125,288.575439453125,0.008022581227123737,18778028.0,291.1533203125,288.474609375,0.006783756893128157,17539718.0,64.5838851443053,85.5844243429887,0.5141,0.6041000000000001
